incident_id,department_id,reported_by_doctor_id,reported_by_nurse_id,incident_type,severity,incident_date,incident_time,description,action_taken,status
INC00640,DEP010,DOC0015,NUR0043,Delay in Treatment,Critical,2025-07-21,12:03:22,Ratione reiciendis distinctio animi beatae. Nulla itaque deleniti sunt possimus deserunt dolore.,Minima nobis assumenda sit laboriosam.,Open
INC00641,DEP009,DOC0007,NUR0195,Equipment Failure,Medium,2025-08-26,20:06:49,Maxime voluptates aperiam assumenda maiores.,Minus alias architecto ad ut.,Open
INC00642,DEP006,DOC0051,NUR0159,Data Privacy Incident,Medium,2025-06-25,00:45:28,Dolorum sequi minima odio molestiae. Excepturi fugit harum provident explicabo saepe autem.,Ullam distinctio ea assumenda consequatur illo commodi.,Resolved
INC00643,DEP001,DOC0089,NUR0205,Patient Complaint,Medium,2026-04-02,13:53:07,A soluta eveniet ipsum nemo vitae ex. Facilis est possimus quod repudiandae ipsum cupiditate.,Sed cumque quisquam reiciendis tempore repellendus.,Open
INC00644,DEP009,DOC0024,NUR0014,Laboratory Error,Critical,2025-01-23,21:31:40,Provident enim adipisci corrupti architecto maxime.,Cupiditate eaque aliquam minima libero voluptate fugit architecto.,Open
INC00645,DEP005,DOC0098,NUR0039,Fire Safety Incident,Critical,2025-02-22,19:10:13,Porro eligendi temporibus perferendis vitae.,Porro commodi illo beatae dolorum sequi nesciunt numquam recusandae.,Open
INC00646,DEP002,DOC0058,NUR0111,Wrong Patient Identification,Critical,2025-05-11,11:36:43,Harum at quisquam libero rerum necessitatibus facere. Doloremque dolor quisquam consequuntur molestias nulla nulla.,Mollitia perspiciatis qui cupiditate illum similique veritatis.,Open
INC00647,DEP002,DOC0013,NUR0061,Patient Fall,Critical,2025-04-05,16:48:54,Officiis sed vitae porro vel. Ipsam dolorem molestiae itaque.,Voluptates laborum natus quod nobis.,Closed
INC00648,DEP006,DOC0051,NUR0230,Delay in Treatment,Low,2024-11-09,09:55:31,Sint ipsa deserunt delectus. Animi nesciunt nobis similique nesciunt commodi.,Eum rem nihil praesentium ducimus harum harum sit.,Resolved
INC00649,DEP004,DOC0002,NUR0242,Delay in Treatment,Critical,2025-05-23,05:02:41,Mollitia exercitationem velit quod aperiam sunt distinctio expedita. Quam doloribus voluptas.,Sed sint voluptatibus reiciendis quibusdam quae rerum modi autem.,Under Investigation
INC00650,DEP002,DOC0034,NUR0198,Medication Error,Low,2025-06-30,12:40:42,Minima alias saepe nemo iste laboriosam.,In quod porro maiores occaecati qui ad cum pariatur.,Resolved
INC00651,DEP006,DOC0033,NUR0086,Patient Complaint,Medium,2026-05-08,04:08:12,Voluptas distinctio nulla laboriosam ullam fuga odit.,Provident occaecati amet ipsum repellendus sapiente ullam et explicabo aliquam.,Open
INC00652,DEP005,DOC0096,NUR0134,Wrong Patient Identification,Low,2026-01-15,05:56:26,Consequatur accusamus pariatur vel dolorem iusto.,Deserunt recusandae dolore optio sint.,Under Investigation
INC00653,DEP007,DOC0037,NUR0087,Needle Stick Injury,High,2025-10-14,16:35:46,Qui totam libero magnam porro. Eveniet numquam quia nobis hic.,Laboriosam perferendis qui mollitia laborum itaque ipsum nam velit eligendi.,Closed
INC00654,DEP002,DOC0063,NUR0005,Patient Complaint,Critical,2025-03-25,23:49:52,Beatae eligendi omnis ipsum laboriosam labore.,Ullam perferendis necessitatibus ullam nostrum consectetur rerum repellendus.,Open
INC00655,DEP002,DOC0021,NUR0061,Fire Safety Incident,Medium,2025-04-01,11:34:43,Porro sed distinctio deleniti enim aliquam. Pariatur sit ipsum repellat dolorem.,Accusamus sed accusantium repellendus modi delectus facere asperiores.,Resolved
INC00656,DEP005,DOC0064,NUR0194,Equipment Failure,High,2025-10-13,21:37:44,Amet ipsam voluptas. Recusandae labore deserunt porro vel consequatur.,Animi reiciendis veniam incidunt blanditiis qui adipisci sint tenetur.,Closed
INC00657,DEP006,DOC0031,NUR0084,Equipment Failure,Low,2026-03-20,16:49:11,Adipisci tenetur esse expedita.,A veritatis accusantium veniam quod atque blanditiis numquam.,Resolved
INC00658,DEP005,DOC0098,NUR0055,Laboratory Error,Critical,2024-07-03,06:22:53,Quis distinctio asperiores fugiat accusamus nobis soluta. Molestias corrupti provident unde tempore fugit enim ratione.,A deleniti labore quae itaque unde.,Open
INC00659,DEP002,DOC0041,NUR0061,Laboratory Error,Medium,2025-04-04,08:34:00,Sapiente officiis nihil soluta soluta sed.,Dolor sint molestiae aspernatur sequi consectetur.,Under Investigation
INC00660,DEP009,DOC0007,NUR0099,Data Privacy Incident,Critical,2024-12-17,13:30:49,Delectus laudantium odit esse repellendus ex.,Necessitatibus fuga veritatis pariatur optio repellendus modi nulla quam sint.,Resolved
INC00661,DEP008,DOC0042,NUR0227,Fire Safety Incident,High,2025-08-12,06:21:42,Recusandae dignissimos quidem temporibus. Dolorem nostrum alias itaque veritatis cum vel doloremque.,Beatae beatae necessitatibus dolorum architecto voluptas reprehenderit tempore.,Closed
INC00662,DEP001,DOC0061,NUR0206,Patient Fall,Medium,2025-09-19,02:39:31,Porro nostrum porro nulla. Possimus nobis necessitatibus molestiae at dolorum odio.,Iure ratione libero quo necessitatibus.,Open
INC00663,DEP005,DOC0008,NUR0237,Delay in Treatment,Low,2025-12-05,11:27:16,Adipisci labore culpa vitae. Sequi odit nihil.,Modi nesciunt recusandae delectus quos.,Resolved
INC00664,DEP003,DOC0078,NUR0026,Equipment Failure,Critical,2026-05-28,18:43:09,Esse autem natus ipsam. Quae nihil nobis.,Quisquam veritatis perferendis tempora similique repellat at facilis.,Open
INC00665,DEP003,DOC0074,NUR0246,Wrong Patient Identification,Low,2024-12-11,21:19:53,Non ex inventore aperiam.,Dolorum magni occaecati voluptas magni sed ipsam.,Open
INC00666,DEP009,DOC0007,NUR0180,Laboratory Error,Low,2024-12-23,22:33:19,Assumenda autem omnis velit.,Quisquam laboriosam cumque blanditiis aut a corrupti itaque odio.,Open
INC00667,DEP007,DOC0037,NUR0002,Patient Complaint,Medium,2025-07-07,18:47:25,Velit sapiente autem modi eius. Nisi dicta quos itaque.,Occaecati quo ad maxime amet quam.,Open
INC00668,DEP007,DOC0044,NUR0067,Medication Error,High,2025-03-09,12:32:53,Quis pariatur nulla.,Unde eius rerum dolores quaerat quam distinctio pariatur a.,Open
INC00669,DEP009,DOC0079,NUR0096,Fire Safety Incident,Critical,2026-06-27,20:35:20,Reiciendis accusantium magnam hic.,Quod perspiciatis exercitationem provident dolore praesentium.,Under Investigation
INC00670,DEP008,DOC0040,NUR0217,Patient Complaint,Low,2025-08-22,10:49:23,Consequatur nam dolor enim consectetur dolor est nihil.,Veniam perferendis porro in id quidem qui commodi inventore voluptas.,Closed
INC00671,DEP004,DOC0082,NUR0132,Delay in Treatment,Medium,2025-03-14,19:27:36,Ipsam eaque at ea excepturi officiis.,Rem at sit non.,Closed
INC00672,DEP006,DOC0033,NUR0073,Wrong Patient Identification,High,2025-09-05,12:12:01,Autem quia illo.,Dignissimos commodi sit modi beatae labore laborum maxime voluptatibus error repellendus.,Open
INC00673,DEP001,DOC0084,NUR0048,Wrong Patient Identification,Critical,2025-09-19,07:08:06,Cum voluptate hic officiis iure sint error dicta. Ad quos reiciendis officia aut.,Veritatis tempore incidunt eligendi doloremque repellendus hic magnam.,Closed
INC00674,DEP003,DOC0074,NUR0218,Data Privacy Incident,Low,2025-04-21,11:20:27,Possimus tenetur rem placeat nesciunt.,Amet voluptatibus accusamus suscipit officia molestiae ipsa quos commodi.,Under Investigation
INC00675,DEP003,DOC0017,NUR0218,Laboratory Error,Critical,2025-10-07,13:43:31,Expedita pariatur iure impedit animi laboriosam.,Ullam id quae nesciunt exercitationem iure sint voluptatibus.,Closed
INC00676,DEP008,DOC0025,NUR0112,Needle Stick Injury,Low,2025-08-22,10:02:59,Id aliquam dolorem ipsum. Consequuntur accusantium excepturi quidem exercitationem amet porro.,Voluptates corrupti quas similique dolore omnis excepturi dignissimos.,Closed
INC00677,DEP003,DOC0017,NUR0213,Laboratory Error,Critical,2025-01-24,14:41:33,Cum voluptate ratione minima maiores.,Totam deserunt minima doloremque temporibus.,Resolved
INC00678,DEP006,DOC0033,NUR0182,Laboratory Error,Medium,2025-07-21,09:22:31,Rerum tempore nostrum dignissimos rerum. Tempore adipisci necessitatibus laboriosam adipisci.,Aspernatur laboriosam iusto aliquam ea.,Closed
INC00679,DEP001,DOC0081,NUR0205,Needle Stick Injury,Critical,2026-06-26,17:59:48,Amet quidem nobis ex natus modi.,Laudantium facilis vel sint eveniet animi dignissimos harum.,Closed
INC00680,DEP007,DOC0047,NUR0067,Wrong Patient Identification,Medium,2025-09-04,16:10:35,Itaque similique molestias provident sunt. Repellendus repudiandae aliquid sapiente necessitatibus ducimus.,Velit minima iure perspiciatis eaque laudantium iure commodi quos qui.,Under Investigation
INC00681,DEP007,DOC0086,NUR0100,Delay in Treatment,Critical,2026-05-11,11:08:44,Facilis adipisci quod aliquam voluptas perspiciatis illum facere.,Odio voluptatibus eius maiores dolor.,Resolved
INC00682,DEP001,DOC0089,NUR0064,Delay in Treatment,Low,2026-03-24,09:46:45,Sunt vero illo perspiciatis voluptate fugiat perferendis. Labore at dolorum quia error praesentium.,Non quae cupiditate porro molestiae exercitationem doloribus.,Open
INC00683,DEP010,DOC0032,NUR0041,Laboratory Error,Low,2024-12-17,04:00:06,Excepturi quas delectus eaque mollitia.,Beatae quis quo odio aut laboriosam quis similique.,Open
INC00684,DEP009,DOC0088,NUR0128,Patient Fall,Medium,2024-11-24,05:44:34,Ratione reprehenderit unde quae corporis porro similique. Vero eaque reprehenderit in quos doloribus.,Repellendus soluta eaque voluptas hic iure doloremque ipsam iure sit natus.,Closed
INC00685,DEP003,DOC0059,NUR0184,Patient Complaint,High,2026-03-28,07:16:33,Repudiandae sed incidunt ratione. Iure et assumenda aliquam.,Officia nam sit ex ad vitae quos sint eligendi recusandae.,Resolved
INC00686,DEP001,DOC0089,NUR0110,Data Privacy Incident,High,2025-03-23,23:34:34,Unde suscipit beatae ab voluptas vitae laborum ratione. Deleniti modi hic.,Repellendus dolores totam exercitationem dolorum eos ab ipsum excepturi.,Under Investigation
INC00687,DEP003,DOC0078,NUR0013,Delay in Treatment,Critical,2026-06-13,23:46:28,Libero tenetur itaque aperiam.,Possimus quia enim quisquam dolorum fuga laborum.,Open
INC00688,DEP007,DOC0044,NUR0201,Medication Error,Medium,2025-09-25,23:49:46,Amet optio nam cumque assumenda nisi.,Ab perferendis eaque eos suscipit maxime minus.,Resolved
INC00689,DEP009,DOC0099,NUR0099,Medication Error,Critical,2024-07-29,03:24:04,Consequatur excepturi tempora officia molestias eveniet. Voluptatibus aliquam architecto aliquam in.,Quod odit dolorum et nam aspernatur incidunt voluptas odit.,Under Investigation
INC00690,DEP001,DOC0089,NUR0208,Equipment Failure,Low,2025-12-05,11:02:00,Corrupti debitis praesentium voluptas. Voluptate labore odit.,Totam blanditiis illo quaerat fuga numquam.,Resolved
INC00691,DEP007,DOC0077,NUR0100,Patient Complaint,Medium,2025-03-13,00:58:22,Odit magnam facilis est tempora impedit ad. Distinctio sed harum numquam soluta.,Ipsa ipsa qui aut ipsa vitae.,Resolved
INC00692,DEP008,DOC0040,NUR0177,Needle Stick Injury,High,2025-01-16,17:23:06,Necessitatibus quas ducimus nesciunt eius ad.,Beatae commodi ab consequuntur est repellat neque sed sunt.,Open
INC00693,DEP009,DOC0011,NUR0146,Wrong Patient Identification,High,2024-08-29,08:13:50,Itaque animi culpa inventore odit explicabo error quibusdam.,Repellendus optio facere omnis dignissimos qui omnis delectus reprehenderit perspiciatis.,Closed
INC00694,DEP003,DOC0046,NUR0026,Fire Safety Incident,Medium,2026-05-25,03:58:40,Esse et dolore consequatur molestias.,Debitis optio quod eum voluptas.,Resolved
INC00695,DEP001,DOC0089,NUR0126,Needle Stick Injury,High,2025-12-14,12:36:47,Repudiandae repudiandae dignissimos hic.,Tempore molestias aliquam non temporibus eius exercitationem itaque dignissimos.,Resolved
INC00696,DEP002,DOC0041,NUR0114,Laboratory Error,Critical,2025-05-01,18:12:21,Cum ut dolor dicta quibusdam at facere. Nulla provident inventore hic debitis quia deserunt.,At adipisci magni quidem architecto ducimus accusamus minima.,Under Investigation
INC00697,DEP004,DOC0002,NUR0117,Delay in Treatment,Low,2025-05-26,22:09:39,Molestias et pariatur aliquam ut.,Voluptatem ducimus ullam sed nisi.,Open
INC00698,DEP005,DOC0008,NUR0063,Medication Error,Medium,2024-09-01,18:59:11,Officia asperiores nesciunt ad.,Pariatur aliquam doloremque voluptate minus perspiciatis quisquam.,Closed
INC00699,DEP007,DOC0072,NUR0173,Data Privacy Incident,High,2025-05-02,18:06:00,Illo eos nisi pariatur accusamus. Dolores nulla reiciendis excepturi id blanditiis dolor dignissimos.,Porro ipsam numquam officiis eligendi hic.,Under Investigation
INC00700,DEP010,DOC0014,NUR0161,Medication Error,Medium,2024-10-31,09:10:09,Reprehenderit quidem fugit est illo non. Vitae magni occaecati doloremque voluptates neque minima quo.,Eaque cum quibusdam tenetur eaque consectetur.,Open
INC00701,DEP007,DOC0095,NUR0191,Patient Fall,Critical,2025-02-02,18:30:14,Fugit beatae nemo blanditiis veniam omnis.,Vel eius aliquid enim cumque praesentium.,Closed
INC00702,DEP001,DOC0081,NUR0233,Laboratory Error,High,2024-12-13,01:42:59,Similique aspernatur hic odit similique voluptatibus et.,Ut ea voluptatibus delectus officia perferendis quisquam doloremque incidunt illum.,Resolved
INC00703,DEP010,DOC0097,NUR0032,Patient Complaint,High,2025-12-14,18:57:23,Quo expedita modi harum architecto quo modi.,Omnis mollitia cumque neque porro.,Closed
INC00704,DEP010,DOC0093,NUR0239,Wrong Patient Identification,High,2024-09-28,03:21:37,Assumenda illum optio dolorum soluta molestias nisi. Dolorem quis est magni.,Distinctio at vero animi fugit accusamus nobis repellat qui aliquid.,Resolved
INC00705,DEP006,DOC0010,NUR0073,Patient Fall,Medium,2026-05-10,22:54:28,Rem officia maiores sit dicta fuga. Aspernatur fugit officia quam.,Deleniti eveniet quae aperiam placeat ad quis dignissimos dolor.,Open
INC00706,DEP001,DOC0084,NUR0188,Medication Error,Low,2025-03-01,11:51:32,Ad provident excepturi autem possimus doloremque. Dolorum voluptatum dolorum quisquam modi.,Quasi fugit eligendi dolor neque soluta a voluptas nesciunt repellat.,Closed
INC00707,DEP010,DOC0093,NUR0235,Fire Safety Incident,High,2026-01-12,03:24:01,Amet id necessitatibus.,Explicabo eaque accusamus officiis beatae labore debitis quis.,Closed
INC00708,DEP008,DOC0040,NUR0227,Equipment Failure,Medium,2025-05-23,03:37:55,Dignissimos ea fugiat quae laudantium. Dolorem praesentium ad reprehenderit.,Delectus cum ut porro rerum veniam esse doloremque quas dolore.,Open
INC00709,DEP004,DOC0018,NUR0144,Fire Safety Incident,Medium,2025-11-06,03:56:12,Sequi deleniti officiis suscipit ut.,Commodi optio laborum iure libero soluta ex dolores id facilis.,Closed
INC00710,DEP009,DOC0079,NUR0178,Medication Error,High,2024-10-02,05:58:23,Cupiditate ratione illum non incidunt sapiente. Dicta deserunt sed molestiae tempore.,Quaerat dolore libero totam corporis autem nihil iure.,Resolved
INC00711,DEP010,DOC0092,NUR0122,Data Privacy Incident,Medium,2025-09-18,01:31:04,Veniam commodi minima quasi occaecati a molestias. Nisi mollitia optio deleniti amet quo doloremque.,Quis ullam sint odio deserunt consequuntur culpa animi.,Resolved
INC00712,DEP009,DOC0011,NUR0141,Delay in Treatment,High,2025-01-06,14:39:31,Vitae incidunt iusto qui. Ipsam quae numquam ratione cumque corporis vitae necessitatibus.,Porro odit enim iste perferendis.,Under Investigation
INC00713,DEP008,DOC0040,NUR0001,Medication Error,Medium,2025-07-20,21:40:29,Illo placeat ea nulla explicabo consectetur aperiam.,Impedit provident doloribus similique.,Closed
INC00714,DEP005,DOC0064,NUR0248,Data Privacy Incident,High,2026-06-05,13:18:33,Quae saepe soluta alias blanditiis harum.,Voluptates illum repellendus voluptates sequi tempora inventore id.,Under Investigation
INC00715,DEP001,DOC0061,NUR0183,Data Privacy Incident,Low,2026-01-19,17:37:44,Amet quasi quaerat laborum quis veritatis placeat iure.,Neque aut cum explicabo natus vel quisquam a ab repellat.,Under Investigation
INC00716,DEP009,DOC0099,NUR0166,Patient Fall,High,2025-05-21,02:44:57,Harum nihil possimus doloribus.,Veniam repellat occaecati a unde.,Resolved
INC00717,DEP010,DOC0015,NUR0150,Data Privacy Incident,Low,2026-02-10,23:09:02,Exercitationem ea omnis odit praesentium reprehenderit. Magnam ex tempore explicabo accusantium.,Tempore magnam rem cumque nesciunt ea delectus quaerat.,Closed
INC00718,DEP010,DOC0027,NUR0129,Patient Fall,Critical,2024-09-05,20:34:43,Tempore consectetur vero facilis nihil error occaecati.,Odio nemo a magni minus.,Under Investigation
INC00719,DEP001,DOC0089,NUR0116,Medication Error,Medium,2025-11-14,00:07:14,Perspiciatis quae cum ad quam.,Magni debitis voluptatum laboriosam maxime odit explicabo nam inventore.,Under Investigation
INC00720,DEP007,DOC0077,NUR0201,Medication Error,Critical,2026-04-19,21:38:34,Quisquam vero atque iusto debitis culpa quisquam.,Vero esse tempore rem beatae eos.,Closed
INC00721,DEP010,DOC0069,NUR0018,Equipment Failure,Low,2024-10-17,07:29:57,Placeat molestias ratione illum quibusdam eos nesciunt. Perspiciatis dolores corporis sunt impedit odio libero.,Laudantium beatae aliquid asperiores nisi ipsum.,Under Investigation
INC00722,DEP008,DOC0022,NUR0170,Needle Stick Injury,Low,2026-03-21,12:28:06,Placeat dolore molestias autem fugiat dolorum. Mollitia illo cupiditate quo saepe vel soluta.,Iure asperiores iusto ipsam ut officiis quibusdam delectus facere labore.,Closed
INC00723,DEP004,DOC0035,NUR0136,Needle Stick Injury,Medium,2024-08-28,18:51:44,Dolorem cumque cumque distinctio earum debitis. Quae maiores eius ex.,Ipsum harum velit nisi voluptate sunt animi doloremque.,Resolved
INC00724,DEP003,DOC0087,NUR0017,Needle Stick Injury,Critical,2025-01-03,07:05:46,Nisi adipisci neque omnis quae nam illo explicabo. Expedita nihil laborum officia nam nulla.,Inventore ea quos quidem tempora repudiandae blanditiis expedita nobis aliquam quas.,Under Investigation
INC00725,DEP003,DOC0046,NUR0009,Needle Stick Injury,Medium,2025-06-11,09:17:58,Sit earum quod quos porro commodi.,Quas excepturi fuga deserunt repellendus iure similique ad doloremque animi nisi.,Resolved
INC00726,DEP007,DOC0005,NUR0191,Data Privacy Incident,Critical,2024-07-02,15:09:22,Sit molestias incidunt quas est. Similique ex corporis.,Aut suscipit provident assumenda atque consequuntur modi assumenda.,Open
INC00727,DEP009,DOC0029,NUR0156,Equipment Failure,Critical,2025-11-07,23:24:00,Minima quam fugit qui dolorum officia. Minima delectus voluptatibus aspernatur.,Cupiditate eligendi culpa explicabo eius dicta quaerat voluptatum sapiente.,Open
INC00728,DEP006,DOC0054,NUR0056,Equipment Failure,High,2025-10-24,16:37:05,Illum harum accusamus magnam placeat suscipit.,Vitae possimus sed nemo nemo.,Resolved
INC00729,DEP001,DOC0061,NUR0221,Patient Complaint,Critical,2025-06-11,15:31:47,Autem aliquid mollitia tenetur maiores. Facere reprehenderit dolorem velit corrupti.,Quaerat dolore accusantium error magni magni aperiam doloremque.,Open
INC00730,DEP010,DOC0032,NUR0074,Fire Safety Incident,Medium,2024-11-30,14:39:45,A maxime voluptatibus a id praesentium recusandae dolorem.,Vero dignissimos ratione non fugit sed animi.,Closed
INC00731,DEP005,DOC0045,NUR0130,Fire Safety Incident,Low,2025-09-29,08:34:26,Est dolores placeat culpa consequuntur.,Facere nulla veritatis excepturi quibusdam aspernatur.,Under Investigation
INC00732,DEP006,DOC0062,NUR0091,Wrong Patient Identification,Medium,2025-05-11,01:14:48,Natus maiores dignissimos odit.,Reiciendis voluptate temporibus tempora suscipit iure ut officia odit amet.,Open
INC00733,DEP004,DOC0056,NUR0132,Equipment Failure,High,2026-05-19,20:22:35,Dolorum velit veniam architecto aliquid.,Voluptas quaerat dolorum magni incidunt atque quaerat.,Closed
INC00734,DEP001,DOC0061,NUR0164,Patient Fall,Low,2026-02-23,01:11:09,Delectus enim nulla cumque libero eveniet rem.,Ea vero sunt accusantium tempora repellat voluptatibus deleniti quibusdam.,Under Investigation
INC00735,DEP004,DOC0012,NUR0247,Patient Complaint,Medium,2026-05-12,20:16:32,Fugit porro tempora aliquid ut at praesentium.,Excepturi dignissimos illum assumenda error asperiores eius praesentium.,Under Investigation
INC00736,DEP006,DOC0049,NUR0084,Needle Stick Injury,Critical,2024-11-07,18:49:58,Fuga odio corporis ex minima unde exercitationem a.,Cumque ipsum natus vel aperiam fuga dolor.,Resolved
INC00737,DEP006,DOC0030,NUR0040,Needle Stick Injury,High,2026-03-30,13:33:40,Veniam quod illo.,Occaecati quod porro esse ratione odio eligendi labore omnis voluptatem.,Open
INC00738,DEP007,DOC0043,NUR0087,Wrong Patient Identification,Critical,2026-03-13,00:07:33,Dolorum excepturi quia repudiandae quaerat minima quibusdam eligendi. Vitae hic a sit cum assumenda reiciendis nihil.,Ex deleniti eum laborum qui quam veniam.,Open
INC00739,DEP009,DOC0036,NUR0099,Data Privacy Incident,Critical,2025-01-24,01:11:00,Possimus enim nam porro. Esse architecto ipsum ea eaque eaque possimus ducimus.,Quam ratione placeat explicabo vero.,Under Investigation
INC00740,DEP005,DOC0096,NUR0149,Delay in Treatment,High,2024-11-18,17:36:24,Molestias magni quasi fuga sapiente.,Molestiae veniam accusamus nulla reprehenderit pariatur ea perferendis nobis natus.,Resolved
INC00741,DEP005,DOC0008,NUR0012,Data Privacy Incident,Critical,2025-07-05,17:01:28,Voluptatum quaerat corporis cumque ad placeat veritatis. Odio quasi maxime pariatur non suscipit.,Cum mollitia atque eaque rerum ullam quibusdam perferendis deleniti.,Closed
INC00742,DEP009,DOC0024,NUR0202,Delay in Treatment,High,2025-09-13,04:25:26,Nisi sint nam excepturi veniam nam. Animi dolorem repellendus nesciunt adipisci commodi.,Pariatur voluptas eveniet delectus alias non eos.,Resolved
INC00743,DEP002,DOC0076,NUR0154,Laboratory Error,Low,2025-12-09,08:30:55,In iste qui sapiente laborum. Numquam recusandae ipsa nostrum debitis.,Repellat delectus velit ipsum repellendus modi quisquam placeat.,Closed
INC00744,DEP008,DOC0022,NUR0001,Delay in Treatment,High,2024-11-23,05:08:29,Reiciendis facere pariatur fugiat unde perspiciatis cum qui.,Culpa libero minus corporis blanditiis sequi nesciunt odio magnam voluptatem.,Open
INC00745,DEP010,DOC0014,NUR0122,Data Privacy Incident,Low,2025-12-30,00:11:19,Excepturi quibusdam consequatur mollitia. Deleniti nobis aut repudiandae modi asperiores praesentium.,Dolorum beatae autem at ratione suscipit eveniet.,Closed
INC00746,DEP006,DOC0062,NUR0056,Delay in Treatment,High,2025-08-16,23:42:00,Perspiciatis corrupti sunt nemo cupiditate voluptate. Dolore atque inventore ipsum at dicta.,Quasi necessitatibus veritatis repudiandae blanditiis ipsa.,Under Investigation
INC00747,DEP008,DOC0020,NUR0020,Fire Safety Incident,Critical,2024-07-29,13:23:26,Mollitia asperiores laboriosam odio. Reprehenderit quasi omnis qui.,Illo doloremque deleniti necessitatibus deserunt autem corrupti.,Closed
INC00748,DEP009,DOC0029,NUR0234,Equipment Failure,High,2025-05-03,17:08:44,Neque consequuntur sint. Repellendus facere libero quidem modi.,Nisi maxime maxime aut hic debitis amet voluptatibus dolorum tempora.,Under Investigation
INC00749,DEP009,DOC0024,NUR0195,Wrong Patient Identification,Medium,2024-12-09,03:43:08,Dolorum itaque quidem consequuntur earum cupiditate illo. Sit dolorem ducimus.,Sequi placeat tenetur distinctio corrupti.,Under Investigation
INC00750,DEP005,DOC0045,NUR0194,Needle Stick Injury,Critical,2025-06-28,23:21:54,Tempora similique ullam nam quod corporis.,Tenetur placeat placeat ratione vel quisquam.,Under Investigation
INC00751,DEP009,DOC0057,NUR0138,Equipment Failure,Medium,2024-08-12,19:27:37,Repellat culpa expedita corrupti sed expedita. Illo voluptatum incidunt impedit.,Inventore laboriosam sit accusamus maiores deserunt perspiciatis maiores in quaerat.,Open
INC00752,DEP009,DOC0099,NUR0099,Data Privacy Incident,Medium,2025-09-23,07:22:44,Consectetur incidunt soluta ad.,Totam libero beatae magnam deleniti odit.,Closed
INC00753,DEP003,DOC0016,NUR0168,Fire Safety Incident,Low,2024-09-17,20:58:49,Facilis fugiat consectetur qui.,Praesentium ex sapiente magni ad sed odit.,Closed
INC00754,DEP001,DOC0081,NUR0148,Delay in Treatment,Medium,2025-11-06,10:51:16,Accusamus labore consequatur cupiditate.,Alias beatae fugiat pariatur illum ad ad.,Resolved
INC00755,DEP007,DOC0077,NUR0172,Wrong Patient Identification,High,2025-02-13,20:18:07,Asperiores a nesciunt animi. Aspernatur accusantium soluta ab.,Eius illum doloribus iusto.,Under Investigation
INC00756,DEP001,DOC0089,NUR0183,Needle Stick Injury,High,2025-09-12,16:00:58,Possimus perferendis tempore. Est repudiandae magni illum eveniet.,Deleniti harum odio iusto vero harum cumque.,Resolved
INC00757,DEP005,DOC0094,NUR0158,Medication Error,Medium,2024-09-08,17:28:47,Repudiandae ex doloremque quis ipsam accusamus enim. Incidunt accusamus placeat odio mollitia tempora.,Nobis ad dolorem natus inventore dolorem magnam est in.,Resolved
INC00758,DEP002,DOC0085,NUR0005,Medication Error,Critical,2025-05-30,04:18:37,Natus ipsam vitae ipsa voluptates expedita eum nostrum.,Laboriosam corrupti expedita sapiente perferendis deserunt consequuntur mollitia illum.,Open
INC00759,DEP007,DOC0095,NUR0058,Patient Complaint,High,2026-02-23,18:09:09,Reiciendis reiciendis neque delectus aspernatur. Modi aliquid quis recusandae fuga.,Nesciunt sapiente provident labore sequi amet maiores sunt ullam.,Under Investigation
INC00760,DEP001,DOC0084,NUR0147,Needle Stick Injury,Low,2025-04-16,05:27:35,Voluptatibus fuga laudantium voluptatibus molestias nemo.,Magni quod beatae maxime optio quae facilis vitae sed.,Closed
INC00761,DEP009,DOC0011,NUR0089,Data Privacy Incident,High,2025-09-04,20:23:03,Fugit sint labore necessitatibus.,Nam nostrum unde ab delectus dolorum fugiat maxime.,Closed
INC00762,DEP004,DOC0075,NUR0210,Fire Safety Incident,Medium,2026-06-06,19:20:23,Magni rerum et asperiores consequuntur. Quis consectetur hic.,Temporibus ab eius illum quos.,Closed
INC00763,DEP005,DOC0067,NUR0134,Laboratory Error,Medium,2025-09-06,06:20:12,Iure recusandae nam. Vel eos sed aspernatur quasi excepturi.,Iusto ad maxime occaecati alias eaque sit mollitia cumque fugit.,Closed
INC00764,DEP003,DOC0059,NUR0219,Patient Complaint,High,2025-12-29,06:21:13,Aut unde magni voluptate. Nisi ipsa sapiente maxime veniam perferendis.,Tempora adipisci assumenda sed atque totam accusamus.,Open
INC00765,DEP002,DOC0076,NUR0225,Data Privacy Incident,Low,2026-04-30,14:30:21,Incidunt consequatur perspiciatis iusto quia assumenda. Beatae laborum iste fuga.,Eaque dolorum recusandae facilis sed eveniet.,Open
INC00766,DEP009,DOC0029,NUR0057,Laboratory Error,Low,2025-05-23,22:33:16,Repellendus sint consequatur ullam dolor. Harum vel soluta enim labore tenetur architecto.,Quaerat fuga velit laborum aut non qui a.,Closed
INC00767,DEP005,DOC0064,NUR0065,Medication Error,Low,2026-03-17,00:26:09,Totam magni illum neque repellat. Laudantium saepe possimus.,Assumenda nemo earum ea porro.,Open
INC00768,DEP005,DOC0068,NUR0065,Fire Safety Incident,High,2026-04-30,07:23:30,Asperiores autem pariatur eaque. Sapiente cum numquam corporis soluta.,Ipsum at amet mollitia doloribus debitis ipsam similique.,Resolved
